print_id,source_file,printer_id,started_at,outcome,failure_type,failure_at_frame,duration_seconds
print_0001,raw/successful/Tolstoy/(1) motor mount_0.4n_0.2mm_PLA_COREONE_4h13m_20260430180710.mp4,Tolstoy,,success,,,34
print_0002,raw/successful/Tolstoy/1-A_0.4n_0.1mm_PLA_COREONE_6h24m_1_20260508204402.mp4,Tolstoy,,success,,,64
print_0003,raw/successful/Tolstoy/1908_Completed_Finger_0.4n_0.25mm_PLA_COREONE_1h49m_20251206142357.mp4,Tolstoy,,success,,,15
print_0004,raw/successful/Tolstoy/1x_m_top_arm_front_0.4n_0.25mm_PLA_COREONE_2h57m_20260429093214.mp4,Tolstoy,,success,,,18
print_0005,raw/successful/Tolstoy/1x_orange__m_top_arm_front_0.4n_0.15mm_PLA_COREONE_2h24m_20260515114622.mp4,Tolstoy,,success,,,19
print_0006,raw/successful/Tolstoy/1x_top_arm_front_0.4n_0.25mm_PLA_COREONE_2h57m_20260427145755.mp4,Tolstoy,,success,,,16
print_0007,raw/successful/Tolstoy/2.7 Tubes_0.4n_0.2mm_PLA_COREONE_32m_20251118115349.mp4,Tolstoy,,success,,,6
print_0008,raw/successful/Tolstoy/2023-hogwarts-lamp-base_0.4n_0.1mm_PLA_COREONE_1h32m_20260513191020.mp4,Tolstoy,,success,,,14
print_0009,raw/successful/Tolstoy/2023-hogwarts-lamp-miniworld3d_0.4n_0.1mm_PLA_COREONE_3h55m_20260514201321.mp4,Tolstoy,,success,,,36
print_0010,raw/successful/Tolstoy/28mmbase_0.4n_0.2mm_PLA_COREONE_21m_20251022123508.mp4,Tolstoy,,success,,,2
print_0011,raw/successful/Tolstoy/32_round_base_0.4n_0.1mm_PLA_COREONE_1h12m_20260511135426.mp4,Tolstoy,,success,,,7
print_0012,raw/successful/Tolstoy/32mm base round_0.4n_0.2mm_PLA_COREONE_1h17m_20251022142526.mp4,Tolstoy,,success,,,6
print_0013,raw/successful/Tolstoy/3DBenchy_0.4n_0.28mm_PLA_COREONE_41m_20251030172508.mp4,Tolstoy,,success,,,7
print_0014,raw/successful/Tolstoy/5. Clip_0.4n_0.2mm_PLA_COREONE_28m_20251128164145.mp4,Tolstoy,,success,,,3
print_0015,raw/successful/Tolstoy/5_FYP_HND_v1_0.4n_0.2mm_PLA_COREONE_2h0m_20260217115721.mp4,Tolstoy,,success,,,20
print_0016,raw/successful/Tolstoy/60 diam coil redesign_lower container 60 diam_0.4n_0.25mm_PLA_COREONE_5h19m_20260321174724.mp4,Tolstoy,,success,,,19
print_0017,raw/successful/Tolstoy/6Torque base load cell side_0.4n_0.28mm_PLA_COREONE_4h2m_20260305121538.mp4,Tolstoy,,success,,,32
print_0018,raw/successful/Tolstoy/6x_orange__rim_0.4n_0.2mm_PLA_COREONE_4h46m_20260227184720.mp4,Tolstoy,,success,,,47
print_0019,raw/successful/Tolstoy/6x_orange__rim_0.4n_0.2mm_PLA_COREONE_4h46m_20260228115010.mp4,Tolstoy,,success,,,50
print_0020,raw/successful/Tolstoy/6x_orange__rim_0.4n_0.2mm_PLA_COREONE_4h46m_20260302093825.mp4,Tolstoy,,success,,,47
print_0021,raw/successful/Tolstoy/85 diam_0.4n_0.28mm_PLA_COREONE_6h6m_20260224195525.mp4,Tolstoy,,success,,,72
print_0022,raw/successful/Tolstoy/96 Well Plate Holder_0.4n_0.28mm_PLA_COREONE_3h59m_20251125181049.mp4,Tolstoy,,success,,,34
print_0023,raw/successful/Tolstoy/AQILAX_CrankV2_0.4n_0.25mm_PLA_COREONE_1h4m_20260325124212.mp4,Tolstoy,,success,,,8
print_0024,raw/successful/Tolstoy/Arm rest_0.4n_0.2mm_PLA_COREONE_4h11m_20260507171234.mp4,Tolstoy,,success,,,11
print_0025,raw/successful/Tolstoy/Arm1_0.4n_0.2mm_PLA_COREONE_26m_20260304120211.mp4,Tolstoy,,success,,,4
print_0026,raw/successful/Tolstoy/Assembly 4_0.4n_0.2mm_PLA_COREONE_2h43m_1_20260303150415.mp4,Tolstoy,,success,,,19
print_0027,raw/successful/Tolstoy/BSS no-pin mounting plate_0.4n_0.2mm_PLA_COREONE_1h19m_20260513151002.mp4,Tolstoy,,success,,,10
print_0028,raw/successful/Tolstoy/Back wall - 1_0.4n_0.2mm_PLA_COREONE_59m_20251211121753.mp4,Tolstoy,,success,,,3
print_0029,raw/successful/Tolstoy/BasePlate_0.4n_0.2mm_PLA_COREONE_2h42m_20251021150249.mp4,Tolstoy,,success,,,22
print_0030,raw/successful/Tolstoy/Base_0.4n_0.28mm_PLA_COREONE_1h13m_20260514120417.mp4,Tolstoy,,success,,,11
print_0031,raw/successful/Tolstoy/Battery Exo bottom halved 2_0.4n_0.2mm_PLA_COREONE_3h35m_20260429133714.mp4,Tolstoy,,success,,,27
